Year,Average of F-Scale,State,Count,Agricultural Exports,Animal Products,Plant Products,Region
2012,0.33,MT,3,1257.08,241.64,1015.44,Western
2013,0.50,MT,6,1592.08,277.34,1314.74,Western
2014,0.38,MT,8,1522.16,314.06,1208.10,Western
2000,0.27,NE,60,2257.68,708.84,1548.84,Mid-West
2001,0.47,NE,62,2389.54,757.71,1631.83,Mid-West
2002,0.04,NE,27,2444.47,739.95,1704.52,Mid-West
2003,0.23,NE,81,2811.03,834.54,1976.49,Mid-West
2004,0.31,NE,112,2304.03,456.45,1847.59,Mid-West
2005,0.10,NE,40,2456.16,555.30,1900.87,Mid-West
2006,0.36,NE,22,3040.63,708.47,2332.16,Mid-West
2007,0.55,NE,47,4136.72,869.21,3267.51,Mid-West
2008,0.67,NE,61,5432.39,1014.83,4417.56,Mid-West
2009,0.44,NE,39,4997.94,873.15,4124.79,Mid-West
2010,0.22,NE,37,5332.68,1125.36,4207.32,Mid-West
2011,0.47,NE,55,7211.32,1441.49,5769.84,Mid-West
2012,0.40,NE,43,6756.49,1530.79,5225.70,Mid-West
2013,0.52,NE,52,6314.40,1660.68,4653.73,Mid-West
2014,0.90,NE,62,7262.16,1887.82,5374.34,Mid-West
2000,0.50,NV,2,64.05,28.60,35.45,Western
2001,1.00,NV,1,67.81,32.71,35.10,Western
2002,0.00,NV,1,56.02,26.40,29.62,Western
2003,0.00,NV,3,58.87,29.95,28.91,Western
2004,0.00,NV,5,53.91,19.82,34.09,Western
2005,0.00,NV,1,61.98,23.46,38.52,Western
2006,0.00,NV,1,76.06,27.40,48.66,Western
2007,0.00,NV,0,82.91,34.24,48.67,Western
2008,0.00,NV,0,100.23,34.17,66.05,Western
2009,0.00,NV,2,97.40,31.47,65.92,Western
2010,0.00,NV,0,111.01,45.73,65.28,Western
2011,0.00,NV,1,145.59,60.36,85.23,Western
2012,0.00,NV,2,140.84,68.26,72.58,Western
2013,0.00,NV,0,147.40,73.97,73.43,Western
2014,0.00,NV,6,168.87,83.93,84.94,Western
2000,0.00,NH,0,32.55,5.61,26.94,North-East
2001,0.00,NH,0,33.11,6.81,26.30,North-East
2002,0.00,NH,0,32.23,6.72,25.51,North-East
2003,0.00,NH,0,35.63,6.89,28.74,North-East
2004,0.00,NH,1,37.52,6.92,30.60,North-East
2005,0.00,NH,0,38.30,7.78,30.52,North-East
2006,1.00,NH,2,42.58,8.66,33.93,North-East
2007,0.00,NH,0,52.03,12.04,39.99,North-East
2008,1.00,NH,2,69.84,14.54,55.30,North-East
2009,0.00,NH,0,63.28,12.17,51.11,North-East
2010,0.00,NH,1,69.65,16.65,53.00,North-East
2011,0.50,NH,2,76.45,19.20,57.25,North-East
2012,0.00,NH,2,78.25,22.07,56.18,North-East
2013,0.00,NH,0,79.67,23.24,56.43,North-East
2014,0.00,NH,2,87.91,24.67,63.24,North-East
2000,0.00,NJ,0,247.93,56.46,191.47,North-East
2001,1.50,NJ,2,253.11,57.62,195.49,North-East
2002,0.00,NJ,0,255.18,54.45,200.73,North-East
2003,0.43,NJ,7,263.91,50.06,213.85,North-East
2004,0.50,NJ,2,269.82,44.66,225.16,North-East
2005,0.00,NJ,0,293.64,47.46,246.18,North-East
2006,0.00,NJ,1,337.96,45.38,292.58,North-East
2007,0.00,NJ,0,399.72,57.89,341.83,North-East
2008,0.00,NJ,0,406.29,23.72,382.57,North-East
2009,2.00,NJ,2,388.51,22.61,365.91,North-East
2010,1.00,NJ,1,424.51,31.57,392.94,North-East
2011,0.00,NJ,2,484.32,38.20,446.12,North-East
2012,0.00,NJ,1,512.50,34.22,478.27,North-East
2013,0.33,NJ,3,307.01,32.95,274.06,North-East
2014,0.00,NJ,0,531.30,38.34,492.96,North-East
2000,0.00,NM,5,324.64,149.87,174.77,Western
2001,0.00,NM,5,331.13,144.50,186.62,Western
2002,0.00,NM,3,288.44,117.49,170.94,Western
2003,0.00,NM,7,317.62,135.73,181.88,Western
2004,0.09,NM,11,321.57,105.82,215.74,Western
2005,0.00,NM,7,371.75,123.39,248.35,Western
2006,0.20,NM,5,398.75,150.61,248.13,Western
2007,0.23,NM,22,491.01,211.00,280.01,Western
2008,0.00,NM,11,543.78,263.18,280.60,Western
2009,0.00,NM,4,497.86,192.59,305.27,Western
2010,0.75,NM,12,691.68,288.83,402.85,Western
2011,0.00,NM,2,795.96,384.47,411.50,Western
2012,0.33,NM,6,745.27,391.74,353.52,Western
2013,0.00,NM,2,739.46,399.03,340.43,Western
2014,0.14,NM,14,770.31,410.47,359.84,Western
2000,0.80,NY,5,498.73,158.12,340.61,North-East
2001,0.00,NY,3,511.04,168.59,342.45,North-East
2002,0.67,NY,15,501.39,156.54,344.85,North-East
2003,0.72,NY,18,483.51,126.53,356.98,North-East
2004,0.13,NY,8,539.06,143.54,395.53,North-East
2005,0.75,NY,4,577.33,164.74,412.59,North-East
2006,0.88,NY,8,670.31,177.81,492.50,North-East
2007,1.33,NY,3,869.45,265.56,603.90,North-East
2008,0.00,NY,2,1237.29,347.36,889.94,North-East
2009,0.50,NY,10,1026.71,240.53,786.18,North-East
2010,0.92,NY,13,1261.73,370.83,890.90,North-East
2011,0.90,NY,21,1457.80,476.69,981.10,North-East
2012,0.75,NY,8,1521.91,509.85,1012.06,North-East
2013,0.83,NY,6,1633.45,613.67,1019.77,North-East
2014,1.18,NY,11,1694.77,654.57,1040.20,North-East
2000,0.04,NC,23,1870.01,523.98,1346.03,South-East
2001,0.15,NC,13,2045.59,604.98,1440.60,South-East
2002,0.55,NC,11,1735.56,539.24,1196.32,South-East
2003,0.25,NC,36,1856.15,553.69,1302.46,South-East
2004,0.31,NC,67,2182.72,674.38,1508.34,South-East
2005,0.61,NC,23,2103.80,811.08,1292.72,South-East
2006,0.55,NC,31,2368.94,821.62,1547.32,South-East
2007,0.08,NC,13,2671.38,985.69,1685.68,South-East
2008,0.56,NC,55,3377.79,1371.20,2006.59,South-East
2009,0.52,NC,33,3115.64,1202.13,1913.51,South-East
2010,0.73,NC,26,3422.23,1304.31,2117.92,South-East
2011,0.85,NC,66,3895.07,1533.17,2361.90,South-East
2012,0.52,NC,23,4194.50,1657.10,2537.40,South-East
2013,0.60,NC,10,4346.50,1667.61,2678.89,South-East
2014,0.81,NC,32,4188.71,1647.16,2541.55,South-East
2000,0.18,ND,28,1323.29,89.68,1233.61,Mid-West
2001,0.32,ND,47,1447.98,105.25,1342.72,Mid-West
2002,0.35,ND,17,1742.30,112.23,1630.07,Mid-West
2003,0.16,ND,32,1810.81,115.54,1695.28,Mid-West
2004,0.55,ND,47,1822.30,67.76,1754.54,Mid-West
2005,0.51,ND,53,1735.38,79.79,1655.58,Mid-West
2006,0.14,ND,21,2028.26,89.38,1938.88,Mid-West
2007,0.69,ND,39,3162.53,110.79,3051.73,Mid-West
2008,0.24,ND,33,4053.33,135.32,3918.01,Mid-West
2009,0.37,ND,30,2904.46,117.20,2787.26,Mid-West
2010,0.69,ND,61,3584.27,166.94,3417.33,Mid-West
2011,0.49,ND,59,4324.98,192.52,4132.46,Mid-West
2012,0.22,ND,9,4431.11,188.38,4242.73,Mid-West
2013,0.13,ND,16,4513.84,214.05,4299.79,Mid-West
2014,0.29,ND,14,4502.76,243.71,4259.05,Mid-West
2000,0.96,OH,26,1440.11,179.30,1260.81,North-East
2001,1.13,OH,8,1503.44,195.99,1307.46,North-East
2002,1.32,OH,25,1435.01,173.55,1261.46,North-East
2003,0.62,OH,13,1533.44,190.50,1342.93,North-East
2004,0.63,OH,8,1677.36,198.44,1478.92,North-East
2005,0.50,OH,4,1643.75,225.23,1418.52,North-East
2006,0.50,OH,36,1921.25,255.68,1665.58,North-East
2007,0.33,OH,12,2424.80,326.21,2098.59,North-East
2008,0.23,OH,13,3415.81,440.06,2975.76,North-East
2009,0.23,OH,13,2875.48,377.07,2498.41,North-East
2010,0.90,OH,41,3459.71,494.93,2964.79,North-East
2011,0.46,OH,39,3628.44,610.54,3017.90,North-East
2012,0.46,OH,13,4396.36,655.55,3740.81,North-East
2013,0.50,OH,30,4435.41,695.51,3739.90,North-East
2014,0.30,OH,20,4450.69,732.70,3717.98,North-East
2000,0.43,OK,44,819.35,415.86,403.49,Mid-West
2001,0.56,OK,61,812.84,394.68,418.16,Mid-West
2002,0.50,OK,18,823.51,375.29,448.22,Mid-West
2003,0.67,OK,81,915.28,433.98,481.30,Mid-West
2004,0.44,OK,62,953.86,307.92,645.94,Mid-West
2005,0.22,OK,27,998.39,378.57,619.81,Mid-West
2006,0.57,OK,30,902.56,427.46,475.10,Mid-West
2007,0.52,OK,50,1203.48,480.78,722.70,Mid-West
2008,0.62,OK,82,1719.15,572.32,1146.83,Mid-West
2009,1.00,OK,36,1111.08,519.43,591.65,Mid-West
2010,0.87,OK,105,1544.66,696.93,847.72,Mid-West
2011,0.80,OK,122,1707.11,948.99,758.12,Mid-West
2012,0.45,OK,64,1794.06,878.22,915.84,Mid-West
2013,0.76,OK,86,1846.23,890.62,955.61,Mid-West
2014,0.41,OK,17,1656.96,922.90,734.06,Mid-West
2000,0.67,OR,3,793.22,94.94,698.28,Western
2001,0.00,OR,4,848.60,91.27,757.34,Western
2002,0.00,OR,2,790.53,88.57,701.97,Western
2003,0.50,OR,2,915.37,96.20,819.17,Western
2004,0.14,OR,7,991.12,79.32,911.80,Western
2005,0.00,OR,1,1006.22,89.13,917.09,Western
2006,0.25,OR,4,1232.83,107.58,1125.25,Western
2007,0.00,OR,2,1426.82,117.49,1309.33,Western
2008,0.00,OR,0,1562.79,157.91,1404.88,Western
2009,0.25,OR,4,1313.59,128.78,1184.82,Western
2010,1.00,OR,2,1403.82,160.62,1243.21,Western
2011,0.00,OR,1,1857.01,222.05,1634.96,Western
2012,0.00,OR,0,1876.62,236.08,1640.54,Western
2013,0.33,OR,3,2034.82,255.54,1779.28,Western
2014,0.00,OR,0,2054.97,273.63,1781.33,Western
2000,0.20,PA,5,691.24,235.14,456.10,North-East
2001,0.50,PA,12,750.87,263.28,487.59,North-East
2002,0.81,PA,16,697.89,226.08,471.81,North-East
2003,0.78,PA,9,723.17,241.72,481.45,North-East
2004,0.85,PA,26,850.38,249.50,600.88,North-East
2005,0.82,PA,11,848.85,284.35,564.49,North-East
2006,0.88,PA,8,941.96,308.81,633.14,North-East
2007,0.43,PA,7,1185.80,418.21,767.59,North-East
2008,0.33,PA,6,1562.11,539.08,1023.03,North-East
2009,0.71,PA,7,1344.70,426.90,917.80,North-East
2010,0.47,PA,17,1667.82,579.39,1088.42,North-East
2011,0.90,PA,30,1879.56,718.06,1161.49,North-East
2012,0.33,PA,12,2128.79,761.70,1367.09,North-East
2013,0.78,PA,9,2182.71,853.95,1328.77,North-East
2014,0.56,PA,9,2324.37,904.76,1419.61,North-East
2000,0.00,RI,1,12.55,1.12,11.44,North-East
2001,0.00,RI,0,15.66,1.70,13.96,North-East
2002,0.00,RI,0,16.11,1.69,14.42,North-East
2003,0.00,RI,0,17.85,1.67,16.18,North-East
2004,0.00,RI,0,19.03,1.55,17.48,North-East
2005,0.00,RI,0,19.72,1.83,17.89,North-East
2006,0.00,RI,0,21.57,1.96,19.61,North-East
2007,0.00,RI,0,23.19,2.16,21.02,North-East
2008,1.00,RI,2,32.02,3.09,28.94,North-East
2009,0.00,RI,0,30.16,2.66,27.50,North-East
2010,0.00,RI,0,32.99,3.39,29.61,North-East
2011,0.00,RI,0,35.45,3.91,31.54,North-East
2012,0.00,RI,1,33.11,4.40,28.71,North-East
2013,0.00,RI,0,34.28,6.36,27.93,North-East
2014,0.00,RI,0,36.68,6.38,30.30,North-East
2000,0.40,SC,20,398.36,89.68,308.68,South-East
2001,0.29,SC,14,434.51,103.66,330.85,South-East
2002,0.42,SC,12,370.80,86.32,284.47,South-East
2003,0.61,SC,18,444.89,100.28,344.62,South-East
2004,0.54,SC,87,509.41,105.63,403.79,South-East
2005,0.50,SC,14,486.14,127.47,358.67,South-East
2006,0.31,SC,36,550.40,132.29,418.12,South-East
2007,0.72,SC,18,597.79,173.12,424.67,South-East
2008,0.68,SC,57,734.03,224.88,509.15,South-East
2009,0.79,SC,19,711.13,206.52,504.61,South-East
2010,0.61,SC,23,819.59,223.13,596.46,South-East
2011,0.55,SC,20,984.10,265.88,718.21,South-East
2012,0.50,SC,10,1037.31,278.64,758.67,South-East
2013,0.44,SC,9,1029.96,274.09,755.87,South-East
2014,0.00,SC,7,927.27,231.94,695.33,South-East
2000,0.28,SD,18,1218.53,242.51,976.03,Mid-West
2001,0.13,SD,31,1224.16,275.78,948.37,Mid-West
2002,0.83,SD,12,1206.21,262.50,943.72,Mid-West
2003,0.47,SD,81,1393.22,268.93,1124.30,Mid-West
2004,0.14,SD,35,1325.48,188.60,1136.88,Mid-West
2005,0.21,SD,19,1428.41,222.77,1205.65,Mid-West
2006,0.59,SD,27,1449.71,281.26,1168.45,Mid-West
2007,0.60,SD,42,2202.44,312.14,1890.31,Mid-West
2008,0.33,SD,27,3541.48,404.14,3137.33,Mid-West
2009,0.18,SD,34,2863.47,343.64,2519.83,Mid-West
2010,0.61,SD,38,2942.30,480.31,2461.99,Mid-West
2011,0.11,SD,19,3752.95,601.82,3151.13,Mid-West
2012,0.36,SD,11,3769.38,618.67,3150.71,Mid-West
2013,0.33,SD,15,3714.33,655.60,3058.73,Mid-West
2014,0.62,SD,29,4316.96,712.47,3604.49,Mid-West
2000,0.89,TN,27,549.49,124.41,425.08,South-East
2001,0.64,TN,14,678.41,149.25,529.16,South-East
2002,1.23,TN,31,629.80,124.48,505.32,South-East
2003,1.04,TN,45,852.36,136.83,715.53,South-East
2004,0.69,TN,16,752.21,112.62,639.59,South-East
2005,0.83,TN,23,778.63,128.93,649.70,South-East
2006,1.15,TN,26,844.95,135.51,709.44,South-East
2007,0.73,TN,11,987.51,184.58,802.93,South-East
2008,1.27,TN,44,1115.19,190.37,924.83,South-East
2009,0.74,TN,46,1164.78,163.23,1001.55,South-East
2010,0.81,TN,31,1269.98,195.77,1074.21,South-East
2011,0.92,TN,103,1504.97,226.37,1278.59,South-East
2012,0.79,TN,29,1495.46,239.34,1256.12,South-East
2013,0.54,TN,41,1710.33,240.00,1470.33,South-East
2014,1.22,TN,18,1721.24,252.71,1468.53,South-East
2000,0.43,TX,148,2735.02,1072.36,1662.66,South-East
2001,0.46,TX,139,2958.56,1113.42,1845.14,South-East
2002,0.28,TX,175,2849.16,962.06,1887.10,South-East
2003,0.38,TX,160,3304.04,1194.64,2109.40,South-East
2004,0.26,TX,179,3597.77,681.72,2916.06,South-East
2005,0.27,TX,105,3689.92,808.82,2881.10,South-East
2006,0.35,TX,116,4152.39,934.81,3217.58,South-East
2007,0.42,TX,199,4948.57,1200.76,3747.81,South-East
2008,0.23,TX,120,6128.57,1425.78,4702.80,South-East
2009,0.45,TX,132,4554.79,1296.10,3258.69,South-East
2010,0.37,TX,109,6382.68,1592.46,4790.22,South-East
2011,0.35,TX,104,6878.70,2213.51,4665.18,South-East
2012,0.30,TX,115,6073.24,2075.35,3997.89,South-East
2013,0.35,TX,84,6127.23,2251.39,3875.84,South-East
2014,0.28,TX,46,6430.53,2263.34,4167.19,South-East
2000,0.00,UT,3,160.47,90.01,70.47,Western
2001,0.00,UT,5,172.29,99.74,72.55,Western
2002,0.50,UT,4,164.53,98.28,66.25,Western
2003,0.00,UT,1,179.86,104.43,75.43,Western
2004,0.00,UT,0,173.10,86.60,86.51,Western
2005,0.00,UT,4,201.15,105.78,95.37,Western
2006,0.00,UT,2,223.94,111.33,112.61,Western
2007,0.00,UT,1,262.42,127.51,134.91,Western
2008,0.00,UT,0,311.82,175.19,136.63,Western
2009,0.00,UT,4,243.48,136.74,106.74,Western
2010,0.00,UT,2,319.24,184.37,134.87,Western
2011,0.00,UT,1,434.69,251.77,182.92,Western
2012,0.00,UT,1,452.83,263.99,188.84,Western
2013,0.00,UT,1,489.30,289.44,199.86,Western
2014,0.00,UT,0,528.28,315.63,212.65,Western
2000,0.00,VT,0,48.57,27.76,20.82,North-East
2001,0.00,VT,0,49.21,30.20,19.00,North-East
2002,1.50,VT,2,47.73,25.50,22.23,North-East
2003,1.00,VT,2,51.19,26.03,25.15,North-East
2004,0.00,VT,0,55.39,29.35,26.04,North-East
2005,0.00,VT,0,59.99,33.18,26.81,North-East
2006,0.00,VT,0,67.00,36.00,31.00,North-East
2007,0.00,VT,0,89.30,54.13,35.16,North-East
2008,0.50,VT,2,143.64,65.96,77.67,North-East
2009,0.50,VT,2,116.21,43.53,72.68,North-East
2010,0.50,VT,2,147.80,68.20,79.61,North-East
2011,0.00,VT,2,178.44,87.11,91.32,North-East
2012,0.00,VT,1,185.98,92.59,93.39,North-East
2013,0.00,VT,0,155.98,108.21,47.77,North-East
2014,0.00,VT,0,227.42,120.54,106.88,North-East
2000,0.36,VA,11,558.53,212.71,345.82,South-East
2001,0.79,VA,14,595.87,234.54,361.33,South-East
2002,1.00,VA,7,545.08,213.73,331.35,South-East
2003,0.34,VA,32,572.93,252.52,320.40,South-East
2004,0.68,VA,84,598.99,191.29,407.70,South-East
2005,0.67,VA,24,575.96,220.67,355.29,South-East
2006,0.38,VA,16,621.57,233.82,387.75,South-East
2007,0.00,VA,2,737.08,287.51,449.56,South-East
2008,0.51,VA,39,900.32,355.08,545.24,South-East
2009,0.44,VA,16,820.99,293.27,527.72,South-East
2010,0.43,VA,7,912.20,366.41,545.79,South-East
2011,0.76,VA,50,1074.90,420.39,654.51,South-East
2012,0.27,VA,11,1210.46,418.55,791.92,South-East
2013,0.20,VA,5,1236.97,441.42,795.54,South-East
2014,0.08,VA,12,1232.80,457.87,774.93,South-East
2000,0.33,WA,3,1299.87,178.98,1120.89,Western
2001,0.50,WA,2,1391.40,188.26,1203.13,Western
2002,0.00,WA,0,1402.29,175.69,1226.60,Western
2003,0.00,WA,2,1546.24,163.59,1382.65,Western
2004,0.10,WA,10,1638.95,138.15,1500.80,Western
2005,0.25,WA,4,1603.84,163.79,1440.05,Western
2006,0.00,WA,2,1831.95,175.95,1656.00,Western
2007,0.00,WA,0,2396.64,271.69,2124.95,Western
2008,0.33,WA,3,2714.09,320.02,2394.08,Western
2009,0.33,WA,6,2365.59,248.63,2116.96,Western
2010,0.00,WA,2,2831.49,343.12,2488.37,Western
2011,0.00,WA,2,3673.68,413.16,3260.52,Western
2012,0.00,WA,0,3723.68,452.67,3271.01,Western
2013,0.50,WA,2,3976.18,505.54,3470.64,Western
2014,0.33,WA,3,3807.58,516.81,3290.78,Western
2000,0.75,WV,4,59.22,39.30,19.92,South-East
2001,0.00,WV,1,65.08,39.54,25.54,South-East
2002,1.00,WV,1,55.71,31.67,24.04,South-East
2003,1.00,WV,2,61.09,34.55,26.54,South-East
2004,0.60,WV,5,55.45,29.17,26.28,South-East
2005,0.00,WV,0,62.47,37.79,24.68,South-East
2006,0.00,WV,0,66.04,39.18,26.85,South-East
2007,1.00,WV,1,78.32,49.43,28.89,South-East
2008,0.00,WV,3,107.76,66.39,41.38,South-East
2009,0.00,WV,0,107.31,64.67,42.64,South-East
2010,2.00,WV,2,118.69,72.64,46.05,South-East
2011,1.00,WV,1,139.56,86.89,52.67,South-East
2012,2.00,WV,3,162.95,96.90,66.05,South-East
2013,0.00,WV,0,165.81,101.02,64.79,South-East
2014,1.00,WV,9,172.35,101.40,70.95,South-East
2000,0.44,WI,18,909.23,313.61,595.61,Mid-West
2001,0.58,WI,12,925.43,365.63,559.80,Mid-West
2002,0.48,WI,27,984.81,322.35,662.46,Mid-West
2003,0.36,WI,14,1077.11,318.75,758.36,Mid-West
2004,0.56,WI,36,1119.36,356.14,763.22,Mid-West
2005,0.41,WI,63,1162.05,423.88,738.16,Mid-West
2006,0.15,WI,13,1504.25,504.67,999.58,Mid-West
2007,0.44,WI,18,1814.49,715.17,1099.32,Mid-West
2008,0.46,WI,39,2402.59,922.29,1480.30,Mid-West
2009,0.19,WI,16,1842.80,654.29,1188.51,Mid-West
2010,0.71,WI,48,2461.70,892.22,1569.48,Mid-West
2011,0.86,WI,42,2942.07,1101.16,1840.91,Mid-West
2012,0.50,WI,4,3200.25,1173.21,2027.04,Mid-West
2013,0.50,WI,16,3127.89,1387.17,1740.72,Mid-West
2014,1.00,WI,22,3195.99,1430.29,1765.70,Mid-West
2000,0.20,WY,5,145.13,96.84,48.28,Western
2001,0.44,WY,16,158.33,110.18,48.15,Western
2002,0.00,WY,8,135.63,98.15,37.48,Western
2003,0.00,WY,4,142.70,100.59,42.11,Western
2004,0.00,WY,6,106.90,60.76,46.14,Western
2005,0.50,WY,6,111.21,62.62,48.59,Western
2006,0.00,WY,1,130.90,76.91,53.99,Western
2007,0.20,WY,5,151.31,91.93,59.38,Western
2008,0.37,WY,19,188.94,102.76,86.18,Western
2009,0.42,WY,12,198.90,111.70,87.20,Western
2010,0.15,WY,20,224.12,128.53,95.58,Western
2011,0.00,WY,7,333.62,200.52,133.10,Western
2012,0.50,WY,4,348.05,208.09,139.96,Western
2013,0.00,WY,8,354.08,211.72,142.37,Western
2014,0.31,WY,13,354.35,215.14,139.20,Western
2000,0.59,AR,37,1295.70,391.11,904.59,South-East
2001,1.08,AR,40,1334.66,434.89,899.76,South-East
2002,0.40,AR,35,1319.98,355.89,964.09,South-East
2003,0.83,AR,63,1788.41,366.70,1421.71,South-East
2004,0.40,AR,48,1898.67,384.39,1514.28,South-East
2005,1.14,AR,69,1925.27,463.98,1461.29,South-East
2006,1.27,AR,26,2037.38,424.97,1612.41,South-East
2007,1.13,AR,16,2593.83,561.43,2032.40,South-East
2008,0.95,AR,84,3520.95,713.23,2807.73,South-East
2009,0.92,AR,49,2882.40,631.19,2251.20,South-East
2010,0.94,AR,36,3213.23,657.78,2555.46,South-East
2011,0.90,AR,81,3511.76,735.10,2776.66,South-East
2012,1.00,AR,18,4017.06,776.13,3240.93,South-East
2013,1.09,AR,35,4010.86,787.24,3223.62,South-East
2014,1.00,AR,20,3720.88,778.63,2942.25,South-East
